PIVlab, ASCII chart output - 16-Oct-2021
FRAME: 300, filenames: MEAN of frames 1:299 & MEAN of frames 1:299, conversion factor xy (px -> m): 0.0002039, conversion factor uv (px/frame -> m/s): 0.010195
x [m],y [m],u [m/s],v [m/s],Vector type [-]
-0.07202551762,-0.05920186075,-0.001029583791,0.01150593917,1
-0.07202551762,-0.05736677093,-0.001015779136,0.00581360454,1
-0.07202551762,-0.05553168111,-0.002758594577,0.003622941463,1
-0.07202551762,-0.0536965913,-0.003040255818,0.0009240703215,1
-0.07202551762,-0.05186150148,-0.002292727737,0.00168469534,1
-0.07202551762,-0.05002641166,-0.002121044759,0.001790260548,1
-0.07202551762,-0.04819132184,-0.001024381914,0.001677824544,1
-0.07202551762,-0.04635623202,-0.00132134319,0.002228467642,1
-0.07202551762,-0.0445211422,5.968525799e-06,0.004074280861,1
-0.07202551762,-0.04268605239,-0.002914818306,0.004311748933,1
-0.07202551762,-0.04085096257,-0.001683070811,0.004374088839,1
-0.07202551762,-0.03901587275,-0.0001794245522,0.006738696388,1
-0.07202551762,-0.03718078293,-0.000883874685,0.006132040223,1
-0.07202551762,-0.03534569311,-0.001397843192,0.005449063279,1
-0.07202551762,-0.03351060329,-0.001741663461,0.005717779014,1
-0.07202551762,-0.03167551348,-0.002601603171,0.005997799395,1
-0.07202551762,-0.02984042366,-0.002456135351,0.005197876636,1
-0.07202551762,-0.02800533384,-0.002728195338,0.0069950445,1
-0.07202551762,-0.02617024402,-0.003071432753,0.005759597082,1
-0.07202551762,-0.0243351542,-0.003029134351,0.004490861872,1
-0.07202551762,-0.02250006439,-0.002778656614,0.005013559819,1
-0.07202551762,-0.02066497457,-0.002947690146,0.006032873048,1
-0.07202551762,-0.01882988475,-0.003326591928,0.005219594619,1
-0.07202551762,-0.01699479493,-0.002240284307,0.0056258625,1
-0.07202551762,-0.01515970511,-0.001887593074,0.005480882708,1
-0.07202551762,-0.01332461529,-0.002332423771,0.004488635593,1
-0.07202551762,-0.01148952548,-0.001532213796,0.007032580234,1
-0.07202551762,-0.009654435658,-0.0004903492423,0.00769973224,1
-0.07202551762,-0.00781934584,0.0001129061095,0.006062825476,1
-0.07202551762,-0.005984256021,-0.0008783435986,0.006478929901,1
-0.07202551762,-0.004149166203,-0.0004810508231,0.006484625399,1
-0.07202551762,-0.002314076385,-0.0008660742874,0.006788141088,1
-0.07202551762,-0.0004789865665,-0.0002172213682,0.007759714562,1
-0.07202551762,0.001356103252,0.0001243118369,0.007552397732,1
-0.07202551762,0.00319119307,0.0007349408307,0.007399302568,1
-0.07202551762,0.005026282888,0.0002209456475,0.007371685298,1
-0.07202551762,0.006861372706,0.0007420340451,0.007659687059,1
