PIVlab, ASCII chart output - 16-Oct-2021
FRAME: 300, filenames: MEAN of frames 1:299 & MEAN of frames 1:299, conversion factor xy (px -> m): 0.00020423, conversion factor uv (px/frame -> m/s): 0.010212
x [m],y [m],u [m/s],v [m/s],Vector type [-]
0.0155217462,0.006535472085,-0.08085923375,-0.03156585949,1
0.0155217462,0.009803208127,-0.0310297876,-0.00575010623,1
0.0155217462,0.01307094417,-0.01289481527,0.00392905896,1
0.0155217462,0.01633868021,-0.009182874416,0.01001575841,1
0.0155217462,0.01960641625,-0.01211977075,0.01424088554,1
0.0155217462,0.0228741523,-0.01758102696,0.01628932784,1
0.0155217462,0.02614188834,-0.02450192505,0.01764969841,1
0.0155217462,0.02940962438,-0.02583606387,0.01769651026,1
0.0155217462,0.03267736042,-0.02269735619,0.02318009975,1
0.0155217462,0.03594509647,-0.02264326922,0.02961067347,1
0.0155217462,0.03921283251,-0.02148716888,0.029522819,1
0.0155217462,0.04248056855,-0.01494304434,0.03358361605,1
0.0155217462,0.04574830459,-0.01149423472,0.03025612105,1
0.0155217462,0.04901604064,-0.01014115127,0.02737259451,1
0.0155217462,0.05228377668,-0.006116395246,0.02510702137,1
0.0155217462,0.05555151272,-0.00642697477,0.02665651079,1
0.0155217462,0.05881924876,-0.006442367767,0.02867207079,1
0.0155217462,0.06208698481,-0.007935499096,0.02969185326,1
0.0155217462,0.06535472085,-0.006157457925,0.02803310395,1
0.0155217462,0.06862245689,-0.006050468574,0.03017637898,1
0.0155217462,0.07189019293,-0.007478635493,0.03034167619,1
0.0155217462,0.07515792898,-0.008135620489,0.03330595338,1
0.0155217462,0.07842566502,-0.007610275903,0.03603032582,1
0.0155217462,0.08169340106,-0.005827427673,0.03849461274,1
0.0155217462,0.0849611371,-0.002480074342,0.03486089502,1
0.0155217462,0.08822887314,-0.002626180338,0.03290597565,1
0.0155217462,0.09149660919,-0.004622577735,0.03309893671,1
0.0155217462,0.09476434523,-0.003854777705,0.03378978945,1
0.0155217462,0.09803208127,-0.00100604649,0.0267228135,1
0.0155217462,0.1012998173,0.004165609745,0.01606459407,1
0.0155217462,0.1045675534,0.005892000836,0.0153151146,1
0.0155217462,0.1078352894,0.006636920272,0.01661132196,1
0.0155217462,0.1111030254,0.006685888085,0.01688498046,1
0.0155217462,0.1143707615,0.007469063098,0.01641484398,1
0.0155217462,0.1176384975,0.003258938386,0.01768162681,1
0.01878948224,0.006535472085,-0.0364543277,-0.002128180671,1
0.01878948224,0.009803208127,-0.02482661672,0.007235312856,1
0.01878948224,0.01307094417,-0.0190472281,0.01367692516,1
0.01878948224,0.01633868021,-0.01733968517,0.01227214375,1
0.01878948224,0.01960641625,-0.01889798067,0.01745347672,1
0.01878948224,0.0228741523,-0.0196883729,0.01488243983,1
0.01878948224,0.02614188834,-0.0238190747,0.01812040935,1
0.01878948224,0.02940962438,-0.02373166021,0.0185832382,1
0.01878948224,0.03267736042,-0.02057302183,0.02347748827,1
0.01878948224,0.03594509647,-0.018923753,0.02639849053,1
0.01878948224,0.03921283251,-0.01720214357,0.02796714425,1
0.01878948224,0.04248056855,-0.01667481434,0.03034361146,1
0.01878948224,0.04574830459,-0.01534106038,0.02961174047,1
0.01878948224,0.04901604064,-0.01360373426,0.0285881284,1
0.01878948224,0.05228377668,-0.0106120293,0.02782768561,1
0.01878948224,0.05555151272,-0.01224056694,0.02849613331,1
0.01878948224,0.05881924876,-0.01035307854,0.02963220464,1
0.01878948224,0.06208698481,-0.01207261566,0.0311243122,1
0.01878948224,0.06535472085,-0.009884990119,0.0336521104,1
0.01878948224,0.06862245689,-0.009871792403,0.03248255727,1
0.01878948224,0.07189019293,-0.008486187395,0.03346613223,1
0.01878948224,0.07515792898,-0.01033415965,0.03513308165,1
0.01878948224,0.07842566502,-0.009316032749,0.03877713367,1
0.01878948224,0.08169340106,-0.004796923859,0.03682319678,1
